Name,Price (tk)
Puck Sterilized Cream,130
Dettol Instant Hand Sanitizer Original,99
Dettol Anti Bacterial Wet Wipes,65
Ispahani Blender's Choice Premium Green Tea,180
Parachute Coconut Oil,70
Planet Kitchen Towel,62
Studio X Anti Dandruff Shampoo for Men (5ml X 12 pcs),48
Parachute Hair Oil Advansed Aloe Vera Enriched Coconut,60
Thai Baby Diaper Pant XL 13-18 kg,666
Thai Baby Diaper Pant XXL 18 kg+,666
Parachute SkinPure Aloe vera Gel,165
Golden Garden Jelly Bean,220
Parachute SkinPure Skin Natural White Lotion,100
Studio X Clean & Strong Shampoo for Men (5ml X 12 pcs),48
Parachute SkinPure Skin Lotion Natural Moisture,100
Parachute Just for Baby Soap,75
Golden Garden Prune Plum,250
Reggia Napoletana sauce,235
Wave Air Freshener Combo Offer,200
Rigs Herbs Masala Tea 45 gm,100
Oillina Extra Virgin Olive Oil,690
Tulsi Pati Lemon & Ginger Tea 45 gm,120
Reggia Arrabbiata sauce,235
Thai Baby Diaper Pant L 9-16 kg,666
Parachute Just for Baby Wash,155
AE1 Kotex Overnight Panties M/L -,240
Amanat Shah Lungi (Torongo),760
Sunlite Aerosol Insect Spray 475 ml (Free Rose Air Freshener),305
Thai Baby Diaper Pant S 4-8 kg,666
Bio Oil Specialist Skincare Oil,"1,200"
SmartCare Adult Diaper L (100-145 cm),"1,675"
Rigs Herbs Pure Green Tea 45 gm,130
Dhakaiya Munchies Bakharkhani Jar,265
Planet Perfumed Pocket Tissue,96
Lazzat Tandoori Chicken BBQ Masala,82
Lazzat Biriyani Masala,82
Dhakaiya Munchies Bakharkhani Sweet,265
Amanat Shah Lungi (Nandonik),"1,120"
Anchor Oregano Pizza,70
Anchor Paprika Powder,70
Royal Farm Green Peas,160
Anchor Baking Soda,30
Nestle Nescafe Gold Blend Rich and Smooth Coffee Powder,350
Anchor Rainbow Rice Sprinkles,70
SmartCare Adult Diaper M (60-110 cm),"1,725"
Discovery Organic Pomegranate Vinegar,"1,325"
Anchor Cmc,50
Anchor Yellow Food Color,50
Anchor Sodium Benzoate,35
Anchor Cocoa Powder,55
